symbol,side,sleeve,open_ts,close_ts,pnl,pair,notional,entry_price,exit_price,gross_pnl,cost,duration_bars,exit_reason,sl_price,tp_price,signal_info,round_kind,round_start,direction,leverage_x,price_chg_pct,pnl_eq_pct,duration_min,exit_label
USDCAD,1,coc,2026-05-25 22:00:00,2026-05-26 22:00:00,2912.8444399039704,USDCAD,6303828.403823727,1.38035,1.3810250000000002,3082.6125059460564,169.76806604208625,96,eod,,1.3844910499999998,pre_ret=-0.053% rank=1/6 (weakest) vol=0.00017 wt=0.29 notional_x=6.3x,round_2,2026-05-25 22:00:00,LONG,6.3,0.0489,0.2913,1440,Held to round-end (EOD)
USDCHF,-1,coc,2026-05-27 22:00:00,2026-05-28 22:00:00,27480.521547021912,USDCHF,6977072.803958855,0.786875,0.7837450000000001,27753.12200335555,272.6004563336375,96,finals_bank,,0.784514375,pre_ret=+0.123% rank=6/6 (strongest) vol=0.00051 wt=0.32 notional_x=7.0x,finals,2026-05-27 22:00:00,SHORT,6.98,0.3978,2.7481,1440,Banked at Finals +24h profit-take
EURUSD,1,coc,2026-05-27 22:00:00,2026-05-28 22:00:00,14477.536948429948,EURUSD,7808822.792071256,1.1630150000000001,1.1651950000000002,14637.157462901076,159.62051447112668,96,finals_bank,,1.166504045,pre_ret=-0.125% rank=2/6 (weakest) vol=0.00046 wt=0.35 notional_x=7.8x,finals,2026-05-27 22:00:00,LONG,7.81,0.1874,1.4478,1440,Banked at Finals +24h profit-take
GBPUSD,1,coc,2026-05-27 22:00:00,2026-05-28 22:00:00,8080.188863394088,GBPUSD,7214104.4039698895,1.3430050000000002,1.344535,8218.569356087102,138.3804926930145,96,finals_bank,,1.347034015,pre_ret=-0.125% rank=1/6 (weakest) vol=0.00050 wt=0.33 notional_x=7.2x,finals,2026-05-27 22:00:00,LONG,7.21,0.1139,0.808,1440,Banked at Finals +24h profit-take
USDCHF,1,coc,2026-05-31 22:00:00,2026-06-01 10:00:00,23416.82063579953,USDCHF,7439661.320957163,0.781695,0.7841750000000001,23603.016618980633,186.19598318110414,48,coc_tp,,0.784040085,pre_ret=-0.183% rank=1/6 (weakest) vol=0.00045 wt=0.34 notional_x=7.4x,round_1,2026-05-31 22:00:00,LONG,7.44,0.3173,2.3417,720,"COC take-profit hit (+0.30% price move) — banked, re-entering"
USDCAD,1,coc,2026-05-31 22:00:00,2026-06-01 13:30:00,26234.15612723293,USDCAD,7897545.53838261,1.379925,1.384535,26383.814288417474,149.65816118454134,62,coc_tp,,1.384064775,pre_ret=-0.064% rank=2/6 (weakest) vol=0.00042 wt=0.36 notional_x=7.9x,round_1,2026-05-31 22:00:00,LONG,7.9,0.3341,2.6234,930,"COC take-profit hit (+0.30% price move) — banked, re-entering"
EURUSD,1,css,2026-06-01 10:00:00,2026-06-01 14:00:00,-11065.697805832138,EURUSD/USDCHF,1500000.0,1.1649150000000001,1.1614250000000002,-10997.540445306873,68.15736052526434,16,max_hold,,0.0,CSS z=-1.72 on EURUSD/USDCHF,round_1,2026-05-31 22:00:00,LONG,1.5,-0.2996,-1.1066,240,Max hold reached — time stop triggered
GBPUSD,-1,coc,2026-05-31 22:00:00,2026-06-01 22:00:00,-4294.043365485935,GBPUSD,6662793.140660229,1.3449250000000001,1.345755,-4111.8414088125855,182.20195667334949,96,eod,,1.340890225,pre_ret=+0.303% rank=6/6 (strongest) vol=0.00050 wt=0.30 notional_x=6.7x,round_1,2026-05-31 22:00:00,SHORT,6.66,-0.0617,-0.4294,1440,Held to round-end (EOD)
USDCAD,1,coc,2026-06-01 13:45:00,2026-06-01 22:00:00,-1746.9068597142368,USDCAD,7897545.53838261,1.384435,1.3841550000000002,-1597.2672973062759,149.63956240796105,33,eod,,1.3885883049999999,pre_ret=-0.064% rank=2/6 (weakest) vol=0.00042 wt=0.36 notional_x=7.9x [re-entry after TP],round_1,2026-05-31 22:00:00,LONG,7.9,-0.0202,-0.1747,495,Held to round-end (EOD)
USDCHF,1,coc,2026-06-01 14:00:00,2026-06-01 22:00:00,-8876.445231639778,USDCHF,7439661.320957163,0.7875750000000001,0.7866550000000001,-8690.586185799353,185.85904584042493,32,eod,,0.789937725,pre_ret=-0.183% rank=1/6 (weakest) vol=0.00045 wt=0.34 notional_x=7.4x [re-entry after TP],round_1,2026-05-31 22:00:00,LONG,7.44,-0.1168,-0.8876,480,Held to round-end (EOD)
AUDUSD,1,coc,2026-06-01 22:00:00,2026-06-02 11:30:00,16715.64352861535,AUDUSD,5463480.531702891,0.716175,0.718385,16859.41561079884,143.77208218348986,54,coc_tp,,0.718323525,pre_ret=-0.180% rank=1/6 (weakest) vol=0.00060 wt=0.25 notional_x=5.5x,round_2,2026-06-01 22:00:00,LONG,5.46,0.3086,1.6716,810,"COC take-profit hit (+0.30% price move) — banked, re-entering"
