open_ts,close_ts,hold_seconds,open_price,close_price,qty,direction,realized_pnl,implied_pnl
2026-06-24 04:10:01.784000+00:00,2026-06-24 04:10:02.505000+00:00,0.721,62596.902,62598.352,1.0,long,1.45,1.4499999999970896
2026-06-24 04:10:06.685000+00:00,2026-06-24 04:10:12.775000+00:00,6.09,62587.266,62595.911,1.0,long,7.72,8.644999999996799
2026-06-24 04:10:17.195000+00:00,2026-06-24 04:10:26.335000+00:00,9.14,62597.095,62589.817,1.0,short,9.15,7.277999999998428
2026-06-24 04:10:29.204000+00:00,2026-06-24 04:10:32.828000+00:00,3.624,62589.393,62589.917,1.0,short,-0.53,-0.5240000000048894
2026-06-24 04:10:36.887000+00:00,2026-06-24 04:10:41.125000+00:00,4.2379999999999995,62597.816,62599.414,1.0,short,-2.16,-1.5979999999981374
2026-06-24 04:10:46.974000+00:00,2026-06-24 04:10:57.241000+00:00,10.267,62592.52,62590.909,1.0,long,1.13,-1.6109999999971478
2026-06-24 04:11:00.681000+00:00,2026-06-24 04:11:03.544000+00:00,2.863,62592.583,62592.851,1.0,long,0.27,0.2680000000036671
2026-06-24 04:11:07.594000+00:00,2026-06-24 04:11:21.514000+00:00,13.92,62590.602,62597.822,1.0,long,4.08,7.220000000001164
2026-06-24 04:11:22.545000+00:00,2026-06-24 04:11:24.585000+00:00,2.04,62594.86,62594.851,1.0,long,-0.01,-0.008999999998195563
2026-06-24 04:11:28.624000+00:00,2026-06-24 04:11:31.265000+00:00,2.641,62594.448,62594.381,1.0,long,-0.47,-0.0669999999954598
2026-06-24 04:11:35.315000+00:00,2026-06-24 04:11:47.615000+00:00,12.3,62593.632,62596.705,1.0,long,4.62,3.073000000003958
2026-06-24 04:11:53.265000+00:00,2026-06-24 04:12:03.386000+00:00,10.121,62599.084,62605.183,1.0,short,-4.31,-6.098999999994703
2026-06-24 04:12:07.454000+00:00,2026-06-24 04:12:13.134000+00:00,5.68,62610.167,62613.578,1.0,short,-0.47,-3.411000000000058
2026-06-24 04:12:14.555000+00:00,2026-06-24 04:12:18.595000+00:00,4.04,62613.597,62643.897,1.0,short,-30.3,-30.299999999995634
2026-06-24 04:12:27.255000+00:00,2026-06-24 04:12:31.305000+00:00,4.05,62617.806,62616.761,1.0,short,1.05,1.0449999999982538
2026-06-24 04:12:35.345000+00:00,2026-06-24 04:12:41.024000+00:00,5.679,62616.188,62615.533,1.0,long,-0.88,-0.6549999999988358
2026-06-24 04:12:45.077000+00:00,2026-06-24 04:13:16.722000+00:00,31.645,62612.931,62610.367,1.0,long,1.75,-2.5639999999984866
2026-06-24 04:13:22.343000+00:00,2026-06-24 04:13:30.683000+00:00,8.34,62610.419,62613.918,1.0,short,0.0,-3.4989999999961583
2026-06-24 04:13:34.733000+00:00,2026-06-24 04:13:35.552000+00:00,0.819,62614.432,62615.55,1.0,short,-1.12,-1.118000000002212
2026-06-24 04:13:35.982000+00:00,2026-06-24 04:13:37.622000+00:00,1.6400000000000001,62615.501,62615.501,1.0,short,0.0,0.0
2026-06-24 04:13:41.686000+00:00,2026-06-24 04:14:15.494000+00:00,33.808,62618.917,62606.0,1.0,short,2.89,12.91700000000128
