,equity
2026-06-24 05:37:05+00:00,1004817.8700000752
2026-06-24 05:37:07+00:00,1004823.3700000752
2026-06-24 05:37:09+00:00,1004822.1700000752
2026-06-24 05:37:14+00:00,1004820.9700000753
2026-06-24 05:37:19+00:00,1004820.9600000753
2026-06-24 05:37:24+00:00,1004823.7400000753
2026-06-24 05:37:29+00:00,1004826.8900000753
2026-06-24 05:37:32+00:00,1004832.3900000753
2026-06-24 05:37:37+00:00,1004832.3900000753
2026-06-24 05:37:42+00:00,1004832.3900000753
2026-06-24 05:37:46+00:00,1004837.8900000753
2026-06-24 05:37:48+00:00,1004836.6900000754
2026-06-24 05:37:53+00:00,1004836.9800000754
2026-06-24 05:37:58+00:00,1004836.9800000754
2026-06-24 05:38:01+00:00,1004842.4800000754
2026-06-24 05:38:05+00:00,1004847.9800000754
2026-06-24 05:38:07+00:00,1004846.7800000755
2026-06-24 05:38:11+00:00,1004845.5800000755
2026-06-24 05:38:16+00:00,1004845.5800000755
2026-06-24 05:38:21+00:00,1004848.6300000756
2026-06-24 05:38:26+00:00,1004848.6200000755
2026-06-24 05:38:31+00:00,1004848.6300000756
2026-06-24 05:38:34+00:00,1004854.1300000756
2026-06-24 05:38:39+00:00,1004854.1200000755
2026-06-24 05:38:44+00:00,1004854.1300000756
2026-06-24 05:38:46+00:00,1004852.9300000756
2026-06-24 05:38:50+00:00,1004851.7300000757
2026-06-24 05:38:55+00:00,1004851.7300000757
2026-06-24 05:39:00+00:00,1004852.3600000757
2026-06-24 05:39:05+00:00,1004851.1600000757
2026-06-24 05:39:10+00:00,1004856.6600000757
2026-06-24 05:39:12+00:00,1004855.4600000757
2026-06-24 05:39:17+00:00,1004855.4700000758
2026-06-24 05:39:22+00:00,1004855.4600000757
2026-06-24 05:39:27+00:00,1004855.4500000757
2026-06-24 05:39:31+00:00,1004854.2500000758
2026-06-24 05:39:36+00:00,1004854.2400000758
2026-06-24 05:39:40+00:00,1004859.7400000758
2026-06-24 05:39:44+00:00,1004865.2400000758
2026-06-24 05:39:49+00:00,1004864.0400000758
2026-06-24 05:39:52+00:00,1004869.5400000758
2026-06-24 05:39:57+00:00,1004868.3400000759
2026-06-24 05:40:00+00:00,1004873.8400000759
2026-06-24 05:40:02+00:00,1004872.6400000759
2026-06-24 05:40:04+00:00,1004871.440000076
2026-06-24 05:40:06+00:00,1004870.240000076
2026-06-24 05:40:09+00:00,1004869.040000076
2026-06-24 05:40:11+00:00,1004867.8400000761
2026-06-24 05:40:13+00:00,1004866.6400000761
2026-06-24 05:40:18+00:00,1004869.7900000762
2026-06-24 05:40:21+00:00,1004875.2900000762
2026-06-24 05:40:26+00:00,1004875.2900000762
2026-06-24 05:40:29+00:00,1004880.7900000762
2026-06-24 05:40:34+00:00,1004885.9400000762
2026-06-24 05:40:39+00:00,1004884.7700000762
2026-06-24 05:40:44+00:00,1004884.7700000762
2026-06-24 05:40:49+00:00,1004888.3600000761
2026-06-24 05:40:54+00:00,1004888.3600000761
2026-06-24 05:40:56+00:00,1004887.1600000762
2026-06-24 05:41:00+00:00,1004892.6600000762
2026-06-24 05:41:05+00:00,1004892.6700000762
2026-06-24 05:41:07+00:00,1004891.4700000762
2026-06-24 05:41:11+00:00,1004896.9700000762
2026-06-24 05:41:16+00:00,1004898.7000000762
2026-06-24 05:41:19+00:00,1004897.5000000763
2026-06-24 05:41:23+00:00,1004896.3000000763
2026-06-24 05:41:28+00:00,1004898.6000000763
2026-06-24 05:41:33+00:00,1004904.1000000763
2026-06-24 05:41:35+00:00,1004902.9000000764
2026-06-24 05:41:38+00:00,1004908.4000000764
2026-06-24 05:41:40+00:00,1004907.2000000764
2026-06-24 05:41:44+00:00,1004912.7000000764
2026-06-24 05:41:49+00:00,1004917.1600000764
2026-06-24 05:41:54+00:00,1004917.1900000764
2026-06-24 05:41:57+00:00,1004915.9900000765
2026-06-24 05:42:02+00:00,1004917.7500000765
2026-06-24 05:42:07+00:00,1004921.2300000765
2026-06-24 05:42:12+00:00,1004921.2200000765
2026-06-24 05:42:17+00:00,1004921.2200000765
2026-06-24 05:42:22+00:00,1004926.7100000764
2026-06-24 05:42:24+00:00,1004925.5100000765
2026-06-24 05:42:29+00:00,1004927.5200000765
2026-06-24 05:42:34+00:00,1004926.3200000766
2026-06-24 05:42:39+00:00,1004927.4300000765
2026-06-24 05:42:44+00:00,1004927.4300000765
2026-06-24 05:42:49+00:00,1004927.4400000765
2026-06-24 05:42:54+00:00,1004930.5600000765
2026-06-24 05:42:59+00:00,1004930.5600000765
2026-06-24 05:43:04+00:00,1004929.5200000765
2026-06-24 05:43:09+00:00,1004929.5100000765
2026-06-24 05:43:13+00:00,1004928.3100000765
2026-06-24 05:43:18+00:00,1004928.3000000765
2026-06-24 05:43:22+00:00,1004933.8000000765
2026-06-24 05:43:27+00:00,1004933.8100000765
2026-06-24 05:43:29+00:00,1004939.3100000765
2026-06-24 05:43:34+00:00,1004939.3100000765
2026-06-24 05:43:39+00:00,1004944.8100000765
2026-06-24 05:43:41+00:00,1004943.6100000766
